School Year,State,NCES LEA ID,LEA,School,NCES SCH ID,Data Group,Data Description,Value,Denominator,Numerator,Population,Subgroup,Characteristics,Age/Grade,Academic Subject,Program Type,Outcome
2018-2019,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,39,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,9,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,15,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,182,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,4,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,7,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,9,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,759,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,218,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,116,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,82,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,521,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,77,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,111,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,50,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,144,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,29,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,23,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,22,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,76,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,55,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,1360,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,286,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,458,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,91,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,1022,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,97,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,179,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,62,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,170,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,59,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,15,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,14,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,103,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,12,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,46,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,9,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,495,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,110,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,76,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,3,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,31,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,327,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,63,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,69,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,36,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,16,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,16,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,275,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,70,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,48,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,27,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,128,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,25,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,109,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,13,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,13,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,9,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,197,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,50,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,25,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,122,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,7,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,59,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,9,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,5,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,634,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,158,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,116,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,59,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,470,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,66,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,82,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,16,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,41,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,8,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,13,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,29,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,9,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5307710,Seattle Public Schools,,,655,Homeless Students Enrolled,2662,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5307710,Seattle Public Schools,,,655,Homeless Students Enrolled,603,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5307710,Seattle Public Schools,,,655,Homeless Students Enrolled,691,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5307710,Seattle Public Schools,,,655,Homeless Students Enrolled,47,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5307710,Seattle Public Schools,,,655,Homeless Students Enrolled,362,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5307710,Seattle Public Schools,,,655,Homeless Students Enrolled,1600,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5307710,Seattle Public Schools,,,655,Homeless Students Enrolled,86,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5307710,Seattle Public Schools,,,655,Homeless Students Enrolled,892,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5307710,Seattle Public Schools,,,655,Homeless Students Enrolled,84,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,279,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,67,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,65,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,38,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,192,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,18,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,63,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,6,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,59,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,21,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,8,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,34,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,7,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,10,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,8,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5300343,Summit Public School: Atlas,,,655,Homeless Students Enrolled,4,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5300343,Summit Public School: Atlas,,,655,Homeless Students Enrolled,S,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5300343,Summit Public School: Atlas,,,655,Homeless Students Enrolled,S,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5300343,Summit Public School: Atlas,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5300343,Summit Public School: Atlas,,,655,Homeless Students Enrolled,S,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5300343,Summit Public School: Atlas,,,655,Homeless Students Enrolled,3,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5300343,Summit Public School: Atlas,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5300343,Summit Public School: Atlas,,,655,Homeless Students Enrolled,S,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5300343,Summit Public School: Atlas,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5300334,Summit Public School: Sierra,,,655,Homeless Students Enrolled,11,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5300334,Summit Public School: Sierra,,,655,Homeless Students Enrolled,S,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5300334,Summit Public School: Sierra,,,655,Homeless Students Enrolled,S,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5300334,Summit Public School: Sierra,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5300334,Summit Public School: Sierra,,,655,Homeless Students Enrolled,S,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5300334,Summit Public School: Sierra,,,655,Homeless Students Enrolled,7,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5300334,Summit Public School: Sierra,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5300334,Summit Public School: Sierra,,,655,Homeless Students Enrolled,3,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5300334,Summit Public School: Sierra,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5308760,Tahoma School District,,,655,Homeless Students Enrolled,74,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5308760,Tahoma School District,,,655,Homeless Students Enrolled,13,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5308760,Tahoma School District,,,655,Homeless Students Enrolled,6,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5308760,Tahoma School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5308760,Tahoma School District,,,655,Homeless Students Enrolled,7,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5308760,Tahoma School District,,,655,Homeless Students Enrolled,54,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5308760,Tahoma School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5308760,Tahoma School District,,,655,Homeless Students Enrolled,10,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5308760,Tahoma School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5308130,Tukwila School District,,,655,Homeless Students Enrolled,286,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5308130,Tukwila School District,,,655,Homeless Students Enrolled,56,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5308130,Tukwila School District,,,655,Homeless Students Enrolled,100,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5308130,Tukwila School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5308130,Tukwila School District,,,655,Homeless Students Enrolled,39,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5308130,Tukwila School District,,,655,Homeless Students Enrolled,199,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5308130,Tukwila School District,,,655,Homeless Students Enrolled,29,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5308130,Tukwila School District,,,655,Homeless Students Enrolled,42,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5308130,Tukwila School District,,,655,Homeless Students Enrolled,16,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5309300,Vashon Island School District,,,655,Homeless Students Enrolled,26,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5309300,Vashon Island School District,,,655,Homeless Students Enrolled,8,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5309300,Vashon Island School District,,,655,Homeless Students Enrolled,9,,,Homeless Students,English Learner,,,,,
