Year,Grade Level,Topic,Measure,Breakout,Breakout Value,% of students County,CI +/- County,% of students State,CI +/- State
2021,6,Mental Health,Contemplation of Suicide,Race/Ethnicity,Pacific Islander,24.40%,12.60%,38.00%,7.50%
2021,6,Mental Health,Contemplation of Suicide,Race/Ethnicity,White,14.90%,2.40%,20.30%,1.80%
2021,6,Mental Health,Contemplation of Suicide,Race/Ethnicity,Multi-race,25.30%,4.40%,33.80%,3.00%
2021,6,Mental Health,Contemplation of Suicide,Academic  Failure,Low Risk,14.50%,1.70%,19.70%,1.30%
2021,6,Mental Health,Contemplation of Suicide,Academic  Failure,High Risk,27.00%,2.80%,32.00%,1.70%
2021,6,Mental Health,Contemplation of Suicide,Low Commitment to School,Low Risk,11.90%,1.70%,15.30%,1.30%
2021,6,Mental Health,Contemplation of Suicide,Low Commitment to School,High Risk,24.60%,2.10%,31.40%,1.40%
2021,6,Mental Health,Contemplation of Suicide,Peers Attitudes Favorable Towards Drug Use,Low Risk,15.20%,1.50%,19.40%,1.00%
2021,6,Mental Health,Contemplation of Suicide,Peers Attitudes Favorable Towards Drug Use,High Risk,35.50%,4.10%,42.20%,2.40%
2021,6,Mental Health,Contemplation of Suicide,Migrant Status,Non-migrant,17.70%,1.40%,23.50%,1.00%
2021,6,Mental Health,Contemplation of Suicide,Migrant Status,Migrant,30.10%,5.30%,32.00%,2.90%
2021,6,Mental Health,Contemplation of Suicide,Military Parents,Non-militrary,18.10%,1.50%,23.20%,1.10%
2021,6,Mental Health,Contemplation of Suicide,Military Parents,Military,23.20%,3.90%,29.50%,2.20%
2021,6,Mental Health,Attempted Suicide,Grades in School,Mostly A's,3.90%,1.00%,5.80%,0.80%
2021,6,Mental Health,Attempted Suicide,Grades in School,Mostly B's,5.50%,1.40%,7.80%,1.00%
2021,6,Mental Health,Attempted Suicide,Grades in School,Mostly C's,8.70%,3.20%,11.80%,2.10%
2021,6,Mental Health,Attempted Suicide,Grades in School,Mostly D's/F's,18.60%,7.20%,18.20%,4.20%
2021,6,Mental Health,Attempted Suicide,Gender Identity,Male,3.90%,1.00%,5.10%,0.70%
2021,6,Mental Health,Attempted Suicide,Gender Identity,Female,7.20%,1.30%,10.30%,1.00%
2021,6,Mental Health,Attempted Suicide,Race/Ethnicity,Native American,5.00%,4.20%,7.60%,2.90%
2021,6,Mental Health,Attempted Suicide,Race/Ethnicity,Asian,6.30%,2.10%,7.80%,1.90%
2021,6,Mental Health,Attempted Suicide,Race/Ethnicity,Black,5.00%,3.20%,8.90%,2.80%
2021,6,Mental Health,Attempted Suicide,Race/Ethnicity,Hispanic,10.90%,3.60%,9.30%,1.70%
2021,6,Mental Health,Attempted Suicide,Race/Ethnicity,Pacific Islander,4.30%,5.80%,12.00%,5.00%
2021,6,Mental Health,Attempted Suicide,Race/Ethnicity,White,2.80%,1.10%,4.90%,1.00%
2021,6,Mental Health,Attempted Suicide,Race/Ethnicity,Multi-race,7.90%,2.70%,12.10%,2.10%
2021,6,Mental Health,Attempted Suicide,Academic  Failure,Low Risk,3.20%,0.90%,5.50%,0.70%
2021,6,Mental Health,Attempted Suicide,Academic  Failure,High Risk,9.70%,1.80%,11.40%,1.20%
2021,6,Mental Health,Attempted Suicide,Low Commitment to School,Low Risk,3.50%,1.00%,4.70%,0.70%
2021,6,Mental Health,Attempted Suicide,Low Commitment to School,High Risk,7.20%,1.30%,10.00%,0.90%
2021,6,Mental Health,Attempted Suicide,Peers Attitudes Favorable Towards Drug Use,Low Risk,3.90%,0.80%,5.30%,0.60%
2021,6,Mental Health,Attempted Suicide,Peers Attitudes Favorable Towards Drug Use,High Risk,12.90%,2.90%,15.80%,1.80%
2021,6,Mental Health,Attempted Suicide,Migrant Status,Non-migrant,4.80%,0.80%,7.00%,0.60%
2021,6,Mental Health,Attempted Suicide,Migrant Status,Migrant,12.40%,3.70%,13.00%,2.10%
2021,6,Mental Health,Attempted Suicide,Military Parents,Non-militrary,5.60%,0.90%,7.50%,0.70%
2021,6,Mental Health,Attempted Suicide,Military Parents,Military,5.50%,2.10%,9.00%,1.40%
2021,8,Mental Health,Adults to Turn to When Depressed,Grades in School,Mostly A's,56.90%,3.60%,58.40%,2.50%
2021,8,Mental Health,Adults to Turn to When Depressed,Grades in School,Mostly B's,50.40%,4.90%,51.30%,3.20%
2021,8,Mental Health,Adults to Turn to When Depressed,Grades in School,Mostly C's,35.80%,7.50%,43.10%,4.40%
2021,8,Mental Health,Adults to Turn to When Depressed,Grades in School,Mostly D's/F's,38.10%,8.20%,38.40%,4.90%
2021,8,Mental Health,Adults to Turn to When Depressed,Gender Identity,Male,48.60%,3.80%,52.40%,2.40%
2021,8,Mental Health,Adults to Turn to When Depressed,Gender Identity,Female,56.20%,4.10%,55.80%,2.60%
2021,8,Mental Health,Adults to Turn to When Depressed,Gender Identity,Transgender,38.50%,26.50%,37.50%,16.80%
2021,8,Mental Health,Adults to Turn to When Depressed,Sexual Orientation,Heterosexual,49.60%,3.30%,53.90%,2.10%
2021,8,Mental Health,Adults to Turn to When Depressed,Sexual Orientation,Gay or Lesbian,52.30%,12.20%,45.80%,8.10%
2021,8,Mental Health,Adults to Turn to When Depressed,Sexual Orientation,Bisexual,51.90%,7.70%,48.30%,4.90%
2021,8,Mental Health,Adults to Turn to When Depressed,Sexual Orientation,Questioning,62.20%,8.70%,48.90%,6.50%
2021,8,Mental Health,Adults to Turn to When Depressed,Race/Ethnicity,Native American,53.80%,27.10%,50.00%,10.80%
2021,8,Mental Health,Adults to Turn to When Depressed,Race/Ethnicity,Asian,41.40%,5.80%,46.10%,5.90%
2021,8,Mental Health,Adults to Turn to When Depressed,Race/Ethnicity,Black,45.70%,10.20%,42.10%,8.80%
2021,8,Mental Health,Adults to Turn to When Depressed,Race/Ethnicity,Hispanic,40.20%,7.30%,44.40%,4.40%
2021,8,Mental Health,Adults to Turn to When Depressed,Race/Ethnicity,Pacific Islander,40.90%,20.60%,52.60%,15.90%
2021,8,Mental Health,Adults to Turn to When Depressed,Race/Ethnicity,White,59.40%,4.10%,57.40%,2.40%
2021,8,Mental Health,Adults to Turn to When Depressed,Race/Ethnicity,Multi-race,50.90%,6.40%,49.00%,4.00%
2021,8,Mental Health,Adults to Turn to When Depressed,Academic  Failure,Low Risk,9.10%,18.40%,50.00%,28.10%
2021,8,Mental Health,Adults to Turn to When Depressed,Academic  Failure,High Risk,58.30%,30.20%,36.40%,30.60%
2021,8,Mental Health,Adults to Turn to When Depressed,Any Disability,No,50.60%,3.00%,53.10%,1.90%
2021,8,Mental Health,Adults to Turn to When Depressed,Any Disability,Yes,48.80%,5.80%,47.80%,3.50%
2021,8,Mental Health,Adults to Turn to When Depressed,Physical Disability,No,50.20%,2.70%,52.50%,1.80%
2021,8,Mental Health,Adults to Turn to When Depressed,Physical Disability,Yes,52.00%,9.70%,44.30%,6.00%
2021,8,Mental Health,Adults to Turn to When Depressed,Emotional/Learning Disability,No,50.00%,2.80%,52.40%,1.80%
2021,8,Mental Health,Adults to Turn to When Depressed,Emotional/Learning Disability,Yes,51.50%,7.60%,47.80%,4.70%
2021,8,Mental Health,Adults to Turn to When Depressed,Others Think I Have Disability,No,50.20%,2.80%,52.20%,1.80%
2021,8,Mental Health,Adults to Turn to When Depressed,Others Think I Have Disability,Yes,51.10%,8.50%,50.00%,4.90%
2021,8,Mental Health,Adults to Turn to When Depressed,Physical Activity Limited by Disability,No,50.50%,2.70%,52.30%,1.80%
2021,8,Mental Health,Adults to Turn to When Depressed,Physical Activity Limited by Disability,Yes,47.80%,10.30%,46.20%,6.40%
2021,8,Mental Health,Adults to Turn to When Depressed,Migrant Status,Non-migrant,50.60%,2.70%,52.30%,1.80%
2021,8,Mental Health,Adults to Turn to When Depressed,Migrant Status,Migrant,49.20%,8.90%,47.80%,5.10%
2021,8,Mental Health,Adults to Turn to When Depressed,Military Parents,Non-militrary,50.80%,2.80%,52.40%,1.90%
2021,8,Mental Health,Adults to Turn to When Depressed,Military Parents,Military,50.00%,6.90%,50.30%,3.50%
2021,8,Mental Health,Adults to Turn to When Depressed,Lost Home Due to Finances,No,50.70%,2.60%,52.10%,1.70%
2021,8,Mental Health,Adults to Turn to When Depressed,Lost Home Due to Finances,Yes,56.50%,20.30%,41.90%,11.20%
2021,8,Mental Health,Adults to Turn to When Depressed,Not Enough Money for Food in Past Year,No,51.50%,2.70%,52.70%,1.70%
2021,8,Mental Health,Adults to Turn to When Depressed,Not Enough Money for Food in Past Year,Yes,30.90%,12.20%,37.50%,7.30%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Grades in School,Mostly A's,61.30%,2.50%,60.40%,1.70%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Grades in School,Mostly B's,62.90%,3.40%,61.50%,2.20%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Grades in School,Mostly C's,63.30%,5.10%,65.90%,3.00%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Grades in School,Mostly D's/F's,66.30%,5.30%,72.20%,3.20%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Gender Identity,Male,44.70%,2.70%,44.70%,1.80%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Gender Identity,Female,74.20%,2.60%,74.90%,1.70%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Gender Identity,Transgender,94.70%,10.00%,86.90%,8.50%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Sexual Orientation,Heterosexual,52.50%,2.40%,53.50%,1.50%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Sexual Orientation,Gay or Lesbian,89.30%,5.70%,88.60%,3.70%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Sexual Orientation,Bisexual,87.30%,3.60%,86.80%,2.40%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Sexual Orientation,Questioning,81.00%,5.00%,82.00%,3.60%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Race/Ethnicity,Native American,52.00%,19.60%,65.00%,7.40%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Race/Ethnicity,Asian,60.70%,4.10%,61.90%,4.10%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Race/Ethnicity,Black,51.90%,6.80%,59.00%,6.00%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Race/Ethnicity,Hispanic,58.30%,5.00%,58.20%,3.10%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Race/Ethnicity,Pacific Islander,53.20%,14.30%,64.20%,10.40%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Race/Ethnicity,White,66.10%,2.80%,63.40%,1.70%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Race/Ethnicity,Multi-race,67.80%,4.20%,68.40%,2.70%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Academic  Failure,Low Risk,57.50%,3.50%,57.60%,2.30%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Academic  Failure,High Risk,65.20%,3.60%,66.90%,2.30%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Low Commitment to School,Low Risk,50.20%,3.90%,50.00%,2.60%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Low Commitment to School,High Risk,69.80%,3.10%,70.10%,2.00%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Poor Family Management,Low Risk,57.50%,3.10%,57.90%,2.10%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Poor Family Management,High Risk,68.40%,4.10%,68.10%,2.70%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Favorable Attitudes Toward Drug Use,Low Risk,57.50%,3.00%,56.50%,2.00%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Favorable Attitudes Toward Drug Use,High Risk,69.30%,4.30%,71.60%,2.70%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Peers Attitudes Favorable Towards Drug Use,Low Risk,57.90%,2.80%,56.60%,1.90%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Peers Attitudes Favorable Towards Drug Use,High Risk,72.80%,4.50%,75.70%,2.80%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Any Disability,No,58.20%,2.90%,57.70%,1.90%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Any Disability,Yes,83.70%,4.20%,85.00%,2.50%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Physical Disability,No,62.10%,2.60%,62.60%,1.70%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Physical Disability,Yes,83.30%,7.20%,81.20%,4.80%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Emotional/Learning Disability,No,60.10%,2.70%,60.20%,1.80%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Emotional/Learning Disability,Yes,88.20%,4.90%,89.80%,2.80%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Others Think I Have Disability,No,60.70%,2.70%,60.80%,1.80%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Others Think I Have Disability,Yes,89.80%,5.10%,87.80%,3.20%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Physical Activity Limited by Disability,No,62.10%,2.60%,62.70%,1.70%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Physical Activity Limited by Disability,Yes,84.00%,7.40%,82.80%,4.90%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Migrant Status,Non-migrant,62.60%,1.80%,61.90%,1.20%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Migrant Status,Migrant,60.70%,5.80%,66.70%,3.40%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Military Parents,Non-militrary,62.70%,2.70%,63.10%,1.90%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Military Parents,Military,69.10%,6.30%,67.10%,3.30%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Lost Home Due to Finances,No,62.40%,1.80%,62.50%,1.20%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Lost Home Due to Finances,Yes,69.60%,12.00%,75.90%,6.60%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Not Enough Money for Food in Past Year,No,62.10%,1.80%,61.80%,1.20%
2021,8,Mental Health,"Feeling Nervous, Anxious or on Edge",Not Enough Money for Food in Past Year,Yes,70.30%,8.50%,81.80%,4.10%
2021,8,Mental Health,Unable to Stop or Control Worrying,Grades in School,Mostly A's,45.60%,2.60%,46.40%,1.80%
2021,8,Mental Health,Unable to Stop or Control Worrying,Grades in School,Mostly B's,51.00%,3.50%,48.70%,2.30%
2021,8,Mental Health,Unable to Stop or Control Worrying,Grades in School,Mostly C's,55.30%,5.30%,54.30%,3.10%
2021,8,Mental Health,Unable to Stop or Control Worrying,Grades in School,Mostly D's/F's,60.20%,5.60%,61.40%,3.50%
2021,8,Mental Health,Unable to Stop or Control Worrying,Gender Identity,Male,32.10%,2.60%,31.00%,1.70%
2021,8,Mental Health,Unable to Stop or Control Worrying,Gender Identity,Female,60.50%,2.90%,61.50%,1.90%
2021,8,Mental Health,Unable to Stop or Control Worrying,Gender Identity,Transgender,78.90%,18.30%,85.00%,9.00%
2021,8,Mental Health,Unable to Stop or Control Worrying,Sexual Orientation,Heterosexual,38.60%,2.30%,39.50%,1.50%
2021,8,Mental Health,Unable to Stop or Control Worrying,Sexual Orientation,Gay or Lesbian,80.40%,7.40%,79.30%,4.80%
2021,8,Mental Health,Unable to Stop or Control Worrying,Sexual Orientation,Bisexual,77.00%,4.60%,76.40%,3.00%
2021,8,Mental Health,Unable to Stop or Control Worrying,Sexual Orientation,Questioning,66.70%,6.10%,65.70%,4.50%
2021,8,Mental Health,Unable to Stop or Control Worrying,Race/Ethnicity,Native American,44.00%,19.50%,58.40%,7.60%
2021,8,Mental Health,Unable to Stop or Control Worrying,Race/Ethnicity,Asian,48.30%,4.30%,47.30%,4.20%
2021,8,Mental Health,Unable to Stop or Control Worrying,Race/Ethnicity,Black,44.20%,6.80%,47.10%,6.10%
2021,8,Mental Health,Unable to Stop or Control Worrying,Race/Ethnicity,Hispanic,49.10%,5.00%,48.70%,3.20%
2021,8,Mental Health,Unable to Stop or Control Worrying,Race/Ethnicity,Pacific Islander,48.90%,14.60%,55.70%,11.00%
2021,8,Mental Health,Unable to Stop or Control Worrying,Race/Ethnicity,White,49.30%,3.00%,49.20%,1.70%
2021,8,Mental Health,Unable to Stop or Control Worrying,Race/Ethnicity,Multi-race,56.50%,4.50%,55.80%,2.90%
2021,8,Mental Health,Unable to Stop or Control Worrying,Academic  Failure,Low Risk,44.30%,3.60%,45.30%,2.30%
2021,8,Mental Health,Unable to Stop or Control Worrying,Academic  Failure,High Risk,55.90%,3.80%,55.40%,2.50%
2021,8,Mental Health,Unable to Stop or Control Worrying,Low Commitment to School,Low Risk,36.70%,3.80%,36.50%,2.50%
2021,8,Mental Health,Unable to Stop or Control Worrying,Low Commitment to School,High Risk,59.30%,3.30%,59.80%,2.20%
2021,8,Mental Health,Unable to Stop or Control Worrying,Poor Family Management,Low Risk,44.70%,3.10%,45.90%,2.10%
2021,8,Mental Health,Unable to Stop or Control Worrying,Poor Family Management,High Risk,58.70%,4.40%,57.70%,2.90%
2021,8,Mental Health,Unable to Stop or Control Worrying,Favorable Attitudes Toward Drug Use,Low Risk,46.70%,3.00%,44.90%,2.00%
2021,8,Mental Health,Unable to Stop or Control Worrying,Favorable Attitudes Toward Drug Use,High Risk,55.80%,4.60%,59.20%,2.90%
2021,8,Mental Health,Unable to Stop or Control Worrying,Peers Attitudes Favorable Towards Drug Use,Low Risk,46.00%,2.90%,45.10%,1.90%
2021,8,Mental Health,Unable to Stop or Control Worrying,Peers Attitudes Favorable Towards Drug Use,High Risk,62.30%,5.00%,63.70%,3.20%
2021,8,Mental Health,Unable to Stop or Control Worrying,Any Disability,No,43.40%,2.90%,42.40%,1.90%
2021,8,Mental Health,Unable to Stop or Control Worrying,Any Disability,Yes,75.90%,4.90%,75.30%,3.10%
2021,8,Mental Health,Unable to Stop or Control Worrying,Physical Disability,No,49.00%,2.70%,48.60%,1.80%
2021,8,Mental Health,Unable to Stop or Control Worrying,Physical Disability,Yes,67.60%,9.10%,66.80%,5.70%
2021,8,Mental Health,Unable to Stop or Control Worrying,Emotional/Learning Disability,No,45.50%,2.80%,44.70%,1.80%
2021,8,Mental Health,Unable to Stop or Control Worrying,Emotional/Learning Disability,Yes,84.20%,5.60%,84.70%,3.40%
2021,8,Mental Health,Unable to Stop or Control Worrying,Others Think I Have Disability,No,46.60%,2.80%,46.00%,1.80%
2021,8,Mental Health,Unable to Stop or Control Worrying,Others Think I Have Disability,Yes,83.70%,6.20%,79.90%,4.00%
2021,8,Mental Health,Unable to Stop or Control Worrying,Physical Activity Limited by Disability,No,48.40%,2.70%,48.40%,1.80%
2021,8,Mental Health,Unable to Stop or Control Worrying,Physical Activity Limited by Disability,Yes,74.50%,8.80%,71.70%,5.80%
2021,8,Mental Health,Unable to Stop or Control Worrying,Migrant Status,Non-migrant,49.00%,1.90%,48.90%,1.30%
2021,8,Mental Health,Unable to Stop or Control Worrying,Migrant Status,Migrant,55.00%,5.90%,56.40%,3.60%
2021,8,Mental Health,Unable to Stop or Control Worrying,Military Parents,Non-militrary,48.90%,2.80%,49.20%,2.00%
2021,8,Mental Health,Unable to Stop or Control Worrying,Military Parents,Military,55.10%,6.80%,52.40%,3.50%
2021,8,Mental Health,Unable to Stop or Control Worrying,Lost Home Due to Finances,No,49.40%,1.80%,49.50%,1.20%
2021,8,Mental Health,Unable to Stop or Control Worrying,Lost Home Due to Finances,Yes,65.50%,12.60%,62.30%,7.50%
2021,8,Mental Health,Unable to Stop or Control Worrying,Not Enough Money for Food in Past Year,No,48.80%,1.90%,48.50%,1.20%
2021,8,Mental Health,Unable to Stop or Control Worrying,Not Enough Money for Food in Past Year,Yes,70.60%,8.60%,74.90%,4.60%
2021,8,Mental Health,Depressive Feelings,Grades in School,Mostly A's,25.00%,2.20%,27.40%,1.60%
2021,8,Mental Health,Depressive Feelings,Grades in School,Mostly B's,35.70%,3.40%,35.00%,2.20%
2021,8,Mental Health,Depressive Feelings,Grades in School,Mostly C's,44.80%,5.30%,45.50%,3.10%
2021,8,Mental Health,Depressive Feelings,Grades in School,Mostly D's/F's,54.20%,5.60%,54.20%,3.60%
2021,8,Mental Health,Depressive Feelings,Gender Identity,Male,20.40%,2.20%,21.40%,1.50%
2021,8,Mental Health,Depressive Feelings,Gender Identity,Female,40.10%,2.90%,41.00%,1.90%
2021,8,Mental Health,Depressive Feelings,Gender Identity,Transgender,83.30%,17.20%,78.70%,10.30%
2021,8,Mental Health,Depressive Feelings,Sexual Orientation,Heterosexual,24.10%,2.00%,25.70%,1.30%
2021,8,Mental Health,Depressive Feelings,Sexual Orientation,Gay or Lesbian,59.60%,9.00%,62.80%,5.60%
2021,8,Mental Health,Depressive Feelings,Sexual Orientation,Bisexual,58.20%,5.40%,60.80%,3.40%
2021,8,Mental Health,Depressive Feelings,Sexual Orientation,Questioning,41.70%,6.40%,45.90%,4.70%
2021,8,Mental Health,Depressive Feelings,Race/Ethnicity,Native American,28.00%,17.60%,43.10%,7.50%
2021,8,Mental Health,Depressive Feelings,Race/Ethnicity,Asian,29.60%,3.90%,31.20%,3.90%
2021,8,Mental Health,Depressive Feelings,Race/Ethnicity,Black,34.10%,6.40%,34.60%,5.70%
2021,8,Mental Health,Depressive Feelings,Race/Ethnicity,Hispanic,43.50%,5.00%,37.40%,3.00%
2021,8,Mental Health,Depressive Feelings,Race/Ethnicity,Pacific Islander,32.60%,13.60%,44.30%,11.00%
2021,8,Mental Health,Depressive Feelings,Race/Ethnicity,White,30.20%,2.70%,32.70%,1.60%
2021,8,Mental Health,Depressive Feelings,Race/Ethnicity,Multi-race,38.80%,4.40%,40.60%,2.80%
2021,8,Mental Health,Depressive Feelings,Academic  Failure,Low Risk,26.00%,3.10%,28.90%,2.10%
2021,8,Mental Health,Depressive Feelings,Academic  Failure,High Risk,44.20%,3.70%,46.30%,2.50%
2021,8,Mental Health,Depressive Feelings,Low Commitment to School,Low Risk,22.30%,3.30%,21.90%,2.10%
2021,8,Mental Health,Depressive Feelings,Low Commitment to School,High Risk,43.30%,3.30%,47.30%,2.20%
2021,8,Mental Health,Depressive Feelings,Poor Family Management,Low Risk,26.10%,2.80%,29.60%,1.90%
2021,8,Mental Health,Depressive Feelings,Poor Family Management,High Risk,50.30%,4.40%,50.80%,2.90%
2021,8,Mental Health,Depressive Feelings,Favorable Attitudes Toward Drug Use,Low Risk,29.30%,2.70%,30.90%,1.90%
2021,8,Mental Health,Depressive Feelings,Favorable Attitudes Toward Drug Use,High Risk,46.20%,4.60%,48.40%,2.90%
2021,8,Mental Health,Depressive Feelings,Peers Attitudes Favorable Towards Drug Use,Low Risk,28.70%,2.60%,30.30%,1.80%
2021,8,Mental Health,Depressive Feelings,Peers Attitudes Favorable Towards Drug Use,High Risk,53.50%,5.10%,55.90%,3.30%
2021,8,Mental Health,Depressive Feelings,Any Disability,No,25.90%,2.60%,25.30%,1.70%
2021,8,Mental Health,Depressive Feelings,Any Disability,Yes,57.90%,5.70%,59.80%,3.50%
2021,8,Mental Health,Depressive Feelings,Physical Disability,No,31.70%,2.50%,32.10%,1.70%
2021,8,Mental Health,Depressive Feelings,Physical Disability,Yes,45.20%,9.60%,49.60%,6.00%
2021,8,Mental Health,Depressive Feelings,Emotional/Learning Disability,No,27.00%,2.50%,27.70%,1.60%
2021,8,Mental Health,Depressive Feelings,Emotional/Learning Disability,Yes,73.10%,6.70%,71.70%,4.20%
